BreedName,dogs
Unknown,11749
Yorkshire Terrier,7264
Shih Tzu,6418
Chihuahua,4976
Labrador Retriever,3761
Maltese,3600
American Pit Bull Mix / Pit Bull Mix,3508
Labrador Retriever Crossbreed,3115
American Pit Bull Terrier/Pit Bull,2448
Pomeranian,2154
Shih Tzu Crossbreed,2104
Havanese,2056
Chihuahua Crossbreed,1983
Beagle,1869
Golden Retriever,1714
German Shepherd Dog,1702
French Bulldog,1621
Jack Russell Terrier,1601
Shiba Inu,1483
Poodle Crossbreed,1474
Terrier mix,1416
German Shepherd Crossbreed,1376
Cavalier King Charles Spaniel,1322
Yorkshire Terrier Crossbreed,1256
Siberian Husky,1227
Cocker Spaniel,1213
Maltese Crossbreed,1210
Pug,1175
"Poodle, Toy",1131
Poodle,1110
Boston Terrier,1106
Beagle Crossbreed,1074
"Poodle, Miniature",1036
Australian Shepherd,1019
Goldendoodle,986
Bichon Frise,949
Labradoodle,920
Boxer,845
"Bull Dog, English",785
Morkie,783
Miniature Pinscher,779
American Staffordshire Terrier,753
"Schnauzer, Miniature",715
Dachshund,710
Puggle,701
"Poodle, Standard",681
Terrier Crossbreed,652
Miniature Schnauzer,638
Maltipoo,589
Lhasa Apso,548
Dachshund Smooth Coat,541
"Bull Dog, French",525
Rottweiler,494
Dachshund Smooth Coat Miniature,468
Pekingese,464
Bichon Frise Crossbreed,408
Cairn Terrier,403
Pomeranian Crossbreed,395
Wheaton Terrier,385
Cocker Spaniel Crossbreed,384
Border Collie,371
Dachshund Crossbreed,368
West High White Terrier,347
Papillon,337
Australian Cattledog,319
Staffordshire Bull Terrier,299
"Dachshund, Long Haired Miniature",297
American Bully,294
Pembroke Welsh Corgi,284
Italian Greyhound,270
American Eskimo dog,268
Boxer Crossbreed,261
Rat Terrier,260
Brussels Griffon,253
Doberman Pinscher,249
"Welsh Corgi, Pembroke",249
Shetland Sheepdog,243
Rhodesian Ridgeback,237
Bulldog,234
Border Collie Crossbreed,231
Siberian Husky Crossbreed,225
Miniature Australian Shepherd,224
Vizsla,220
Bernese Mountain Dog,218
Jack Russell Terrier Crossbreed,217
West Highland White Terrier,217
Chow Chow,211
Silky Terrier,210
Pointer,209
Greyhound,204
Cane Corso,199
Collie Crossbreed,199
Border Terrier,192
Australian Cattle Dog,187
Bull Terrier,187
Pug Crossbreed,178
Tibetan Terrier,177
"Collie, Border",171
Schnauzer Crossbreed,170
"Shar-Pei, Chinese",170
"Dachshund, Long Haired",167
Cotton De Tulear,164
Plott,156
"Schnauzer, Standard",152
Basset Hound,146
Whippet,141
Weimaraner,139
Coton de Tulear,138
Shepard Crossbreed,137
Bassett Hound,133
Scottish Terrier,133
Wire Fox Terrier,132
Cockapoo,130
Portuguese Water Dog,130
Catahoula Leopard Dog,129
Great Dane,128
Basenji,125
Akita,117
Jindo,117
"Jindo Dog, Korea",117
English Cocker Spaniel,108
Samoyed,108
"Schnauzer, Miniature Crossbreed",103
Miniature American Shepherd,100
Rottweiler Crossbreed,100
Norwich Terrier,99
Shiba Inu Crossbreed,98
"Bull Dog, American",95
German Shorthaired Pointer,95
Great Pyrenees,95
Belgian Malinois,94
"Coonhound, Black and Tan",91
Dalmatian,90
Soft Coated Wheaten Terrier,85
Anatolian Shepherd Dog,81
Brittany Spaniel,80
Pomsky,80
"Welsh Corgi, Cardigan",80
English Springer Spaniel,78
Rat Terrier Crossbreed,77
Mastiff,76
Norfolk Terrier,76
Old English Sheepdog,72
Alaskan Malamute,70
American Foxhound,70
"Coonhound, Treeing Walker",66
"Dachshund, Wirehaired",65
"Dachshund, Wirehaired, Miniature",64
Collie,63
Newfoundland,60
Tibetan Spaniel,60
Cardigan Welsh Corgi,59
Japanese Chin/Spaniel,59
Chinese Shar-Pei,58
Airedale Terrier,55
Toy Fox Terrier,52
Treeing Walker Coonhound,50
Japanese Chin,49
"Pointer, German Shorthaired",49
Black and Tan Coonhound,48
Redbone Coonhound,48
"Mastiff, Bull",46
Chinese Crested,44
Flat-Coated Retriever,44
Lagotto Romagnolo,44
Parson Russell Terrier,44
Dutch Shepherd,41
Pembroke Welsh Corgi Crossbreed,41
Irish Terrier,39
Bluetick Coonhound,36
Manchester Terrier,36
"Collie, Smooth Coat",34
Irish Setter,34
Affenpinscher,33
Australian Silky Terrier,32
Keeshond,32
Akita Crossbreed,31
"Collie, Rough Coat",31
American English Coonhound,30
Australian Kelpie,29
Bullmastiff,28
Saint Bernard,28
Schipperkee,27
Bloodhound,26
Dogo Argentino,26
"Mastiff, Old English",26
Nova Scotia Duck Tolling Retriever,26
English Setter,25
Norwegian Elkhound,25
Pharaoh Hound,25
Australian Terrier,24
Petit Basset Griffon Vendeen,24
Welsh Terrier,24
Bedlington Terrier,23
Brittany,23
Canaan Dog,23
"Schnauzer, Giant",23
Russell Terrier,22
Chesapeake Bay Retriever,21
"Coonhound, Blue Tick",21
St. Bernard,21
Wirehaired Pointing Griffon,21
Afghan Hound,19
Bouvier Des Flandres,19
"Collie, Bearded",18
Giant Schnauzer,18
Belgian Sheepdog,17
Kerry Blue Terrier,17
Miniature Bull Terrier,17
Schipperke,17
Smooth Fox Terrier,17
Bearded Collie,16
Briard,16
Japanese Spitz,16
Welsh Springer Spaniel,16
Bloodhound Crossbreed,15
Borzoi,15
Dogue de Bordeaux,15
English Foxhound,15
Irish Wolfhound,15
Spinone Italiano,15
Ibizan Hound,14
Puli,14
Boerboel,13
Brussels Griffon Crossbreed,13
Field Spaniel,13
Finnish Spitz,13
Greater Swiss Mountain Dog,13
"Pointer, German Wirehaired",13
Saluki,13
Bolognese,12
German Pinscher,12
German Spitz,12
German Wirehaired Pointer,12
Portuguese Podengo Pequeno,12
Biewer Terrier,11
Clumber Spaniel,11
Harrier,11
"Mastiff, French (Dogue de Bordeaux)",11
Pharoh hound,11
Thai Ridgeback,11
Entlebucher Mountain Dog,10
Russian Toy,10
Standard Schnauzer,10
Tibetan Mastiff,10
Xoloitzcuintli,10
Basset Hound Crossbreed,9
Glen of Imaal Terrier,9
Lowchen,9
English Toy Spaniel,8
Lakeland Terrier,8
"Mastiff, Neapolitan",8
Skye Terrier,8
Treeing Tennessee Brindle,8
Black Russian Terrier,7
Gordon Setter,7
Sealyham Terrier,7
Spanish Water Dog,7
Chinook,6
German Longhaired Pointer,6
Leonberger,6
"Mastiff, Tibetan",6
Polish Hound,6
Boykin Spaniel,5
Kooikerhondje,5
Miniature Fox Terrier,5
Polish Lowland Sheepdog,5
Afghan Hound Crossbreed,4
American Hairless Terrier,4
American Water Spaniel,4
Barbet,4
Belgian Griffon,4
Berger Picard,4
Cirneco dell,4
Kuvasz,4
Neapolitan Mastiff,4
Sussex Spaniel,4
Beauceron,3
Belgian Tervuren,3
Curly-Coated Retriever,3
Dandie Dinmont Terrier,3
Eurasier,3
Fila Brasileiro,3
French Spaniel,3
Hovawart,3
Icelandic Sheepdog,3
Irish Red and White Setter,3
Kai Ken,3
Lancashire Heeler,3
Mudi,3
Perro de Presa Canario,3
Pyrenean Shepherd,3
Scottish Deerhound,3
Small Munsterlander Pointer,3
Swedish Vallhund,3
Wirehaired Vizsla,3
Baladi,2
English Setter Crossbreed,2
Estrela Mountain Dog,2
Kromfohrlander,2
Mountain Feist,2
Pumi,2
American Leopard Hound,1
Azawakh,1
Belgian Laekenois,1
Bracco Italiano,1
Cesky Terrier,1
Grand Basset Griffon Vendeen,1
Jagdterrier,1
Norwegian Buhund,1
Peruvian Inca Orchid,1
Stabyhoun,1
Tosa,1
